approximate_timing,maxVal,std,skewness,kurtosis_,max_deviation,centroids_ptp,centroids_mean,centroids_std,centroids_kurt,centroids_skew,sp_bandwidth_ptp,sp_bandwidth_mean,sp_bandwidth_std,sp_bandwidth_skew,fft_1,rms,p_t_p,crest_f,prediction
0:0.0 - 0:1.5,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:1.5 - 0:3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:3.0 - 0:4.5,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:4.5 - 0:5.9,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:5.9 - 0:7.4,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:7.4 - 0:8.9,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:8.9 - 0:10.4,10432.0,240.8,0.9,240.1,10422.0,15079.1,3849.1,6296.3,-0.9,1.0,8832.6,2344.8,3833.9,1.0,0.0,27.0,18663.0,386.0,0.0033442574
0:10.4 - 0:11.9,9523.0,540.3,-0.1,25.3,10349.9,2392.5,14185.7,369.0,0.6,-0.4,606.0,8681.8,99.3,-0.2,0.0,48.9,19834.0,194.6,0.00072326226
0:11.9 - 0:13.4,10607.0,844.5,-0.2,8.6,10570.6,3792.6,14596.5,630.8,0.9,0.8,1111.1,8709.6,130.0,-1.7,-0.5,39.8,20669.0,266.3,0.0009155035
0:13.4 - 0:14.9,21574.0,3435.1,0.0,0.5,21539.5,6184.6,17874.0,947.1,0.7,-0.4,4291.6,7483.9,756.4,-0.5,0.5,13.5,-29834.0,1594.3,0.9730083
0:14.9 - 0:16.3,11261.0,2336.4,-0.0,1.3,11359.9,3801.2,16577.3,831.4,-0.7,-0.1,1578.5,8460.5,359.4,-0.7,0.5,18.6,22583.0,604.9,0.9880812
0:16.3 - 0:17.8,11653.0,902.1,-0.0,7.6,11614.7,3106.9,14960.8,601.3,-0.3,0.2,631.0,8737.2,110.6,-0.6,0.5,35.1,21923.0,332.2,0.00046012778
0:17.8 - 0:19.3,10585.0,583.1,-0.1,16.0,10546.5,2468.2,14231.7,422.3,0.4,0.2,532.9,8663.2,99.2,0.1,0.0,45.8,19220.0,231.0,0.0009885489
0:19.3 - 0:20.8,10963.0,713.4,-0.0,18.3,10925.4,3279.6,14226.6,555.8,0.9,-0.7,1098.8,8666.3,144.0,-1.6,0.0,40.3,21631.0,272.0,0.00044743996
0:20.8 - 0:22.3,7735.0,648.7,-0.1,13.5,9855.0,2607.7,14058.0,457.6,0.2,-0.3,870.8,8624.0,139.0,-1.0,0.0,42.7,17553.0,181.4,0.0004947051
0:22.3 - 0:23.8,9047.0,591.6,-0.1,27.0,10206.9,1966.1,14231.1,384.6,-0.2,-0.3,728.7,8677.8,99.8,-0.7,0.0,47.1,19215.0,192.1,0.0005730131
0:23.8 - 0:25.3,10103.0,597.9,0.2,26.7,10063.9,1776.0,14217.3,280.4,0.1,-0.1,411.4,8670.5,78.0,-0.0,0.0,47.7,20126.0,212.0,0.0008941431
0:25.3 - 0:26.7,20209.0,1113.7,0.5,46.0,20170.7,5083.3,14478.8,704.1,10.1,2.7,2048.5,8680.8,190.6,-4.0,-0.5,45.1,-31793.0,448.0,0.0030573036
0:26.7 - 0:28.2,11835.0,2213.7,0.0,1.9,11924.8,4396.3,16533.0,814.2,0.1,0.7,2390.9,8374.8,462.0,-1.6,0.5,20.3,23721.0,582.5,0.9567222
0:28.2 - 0:29.7,10436.0,1006.8,-0.0,4.1,10397.3,2238.9,15194.1,469.0,-0.6,-0.0,820.3,8762.4,88.8,-1.9,0.5,33.0,20608.0,316.3,0.00044743996
0:29.7 - 0:31.2,10686.0,594.5,0.0,25.6,11609.4,2125.3,14495.3,380.1,-0.1,0.2,472.8,8725.1,73.4,0.0,0.0,47.1,22256.0,227.1,0.0008941431
0:31.2 - 0:32.7,9484.0,515.0,0.1,17.7,9445.9,1574.2,14211.9,313.5,-0.6,0.1,468.6,8688.0,81.3,-0.1,0.0,50.4,16621.0,188.3,0.0014585714
0:32.7 - 0:34.2,10149.0,587.1,-0.1,33.5,11322.9,1926.1,14268.1,360.3,0.1,0.1,620.8,8690.0,94.8,-0.4,0.0,49.1,21433.0,206.6,0.00072326226
0:34.2 - 0:35.7,7210.0,497.4,0.1,19.2,7171.0,2149.0,14138.7,364.5,0.9,-0.7,510.3,8659.8,84.6,-1.0,0.0,51.7,13598.0,139.3,0.00036452178
0:35.7 - 0:37.2,11133.0,529.2,0.4,37.0,11094.2,2654.4,14161.0,400.8,1.7,0.5,565.0,8657.5,99.2,-1.0,0.0,50.8,20797.0,219.3,0.00034590997
0:37.2 - 0:38.6,11507.0,545.3,0.1,27.8,11467.9,2677.8,14245.9,354.4,3.1,0.6,655.6,8683.9,83.9,-0.9,0.0,49.5,19958.0,232.6,0.00034590997
0:38.6 - 0:40.1,11238.0,544.0,0.4,31.8,11198.9,2449.9,14241.4,405.8,0.5,-0.3,656.9,8683.7,109.0,-0.8,0.0,48.6,20376.0,231.2,0.0005182701
0:40.1 - 0:41.6,10936.0,596.4,0.2,22.1,10896.7,1947.6,14263.0,333.6,0.4,-0.4,455.2,8691.5,76.9,-0.3,0.0,48.1,20182.0,227.2,0.00046012778
0:41.6 - 0:43.1,10935.0,551.9,0.2,29.5,10895.8,2250.8,14216.4,345.1,1.1,0.6,557.2,8694.3,83.7,-0.0,0.0,49.0,20350.0,223.3,0.0005968542
0:43.1 - 0:44.6,7423.0,511.1,0.0,10.1,7384.2,2703.4,14461.6,529.3,-0.4,0.1,591.2,8710.1,94.8,-0.7,0.0,47.9,14258.0,154.8,0.00036452178
0:44.6 - 0:46.1,21210.0,1763.8,0.3,14.2,21171.4,5029.7,15575.8,948.4,2.7,1.8,3598.5,8619.1,465.0,-3.0,0.5,33.4,-28411.0,634.2,0.020398488
0:46.1 - 0:47.6,12170.0,2755.7,0.0,0.6,12132.8,3617.4,17428.2,783.8,-0.1,0.7,2948.2,7911.5,694.1,-1.3,0.5,15.4,24131.0,791.6,0.95554554
0:47.6 - 0:49.0,10263.0,1504.3,-0.0,1.2,10226.8,1941.1,15782.2,346.3,0.7,-0.5,798.6,8789.3,79.1,-1.1,-0.5,27.1,18842.0,378.1,0.00044980744
0:49.0 - 0:50.5,6753.0,862.1,-0.0,1.7,6716.4,1623.6,15246.1,325.1,-0.4,-0.2,496.3,8815.4,76.2,0.2,0.0,34.7,12918.0,194.9,0.0023378436
0:50.5 - 0:52.0,10467.0,818.9,0.1,3.5,10427.8,1871.9,15042.2,324.9,0.2,-0.4,357.9,8781.8,64.3,0.2,0.0,34.8,18333.0,300.5,0.0006289596
0:52.0 - 0:53.5,8361.0,754.4,0.1,3.4,8324.7,1830.7,14998.9,301.1,0.6,-0.2,387.2,8791.8,76.5,0.5,0.0,37.3,15145.0,224.3,0.00079899223
0:53.5 - 0:55.0,12097.0,761.0,0.1,10.1,12058.3,1710.0,14850.9,273.9,0.3,0.0,617.4,8750.3,86.2,-1.4,-0.5,37.0,23981.0,326.6,0.0012717322
0:55.0 - 0:56.5,6513.0,643.5,0.0,2.1,6473.4,1362.7,15010.5,245.4,-0.1,-0.1,387.8,8789.0,64.6,0.1,0.0,39.0,11080.0,167.2,0.0023378436
0:56.5 - 0:58.0,10420.0,672.8,-0.0,6.0,10380.8,1910.3,14781.8,296.6,0.3,-0.3,468.9,8769.2,72.4,0.2,0.0,39.4,19934.0,264.6,0.0008941431
0:58.0 - 0:59.4,8709.0,632.5,0.0,4.1,8670.1,1555.5,14824.5,286.2,0.2,-0.6,455.3,8779.6,71.9,0.5,0.0,39.1,15281.0,223.0,0.0018524651
0:59.4 - 1:0.9,9148.0,605.4,-0.1,5.7,11316.1,1743.3,14951.2,274.9,0.5,-0.5,436.5,8780.9,67.2,-0.5,0.0,40.1,20425.0,227.9,0.0016770526
1:0.9 - 1:2.4,9740.0,627.0,0.1,4.7,9700.4,1432.4,14819.5,281.5,0.2,-0.6,419.2,8767.6,64.8,-0.6,0.0,39.1,16549.0,248.9,0.00075078965
1:2.4 - 1:3.9,11248.0,656.8,0.0,5.0,11200.1,11145.5,6806.0,3869.6,0.5,1.6,3231.3,6399.1,1147.7,1.5,0.0,36.0,20324.0,312.4,0.003995871
1:3.9 - 1:5.4,6259.0,725.1,-0.1,2.1,7518.5,2655.4,4984.2,473.6,1.7,1.3,310.8,5824.5,62.2,0.0,-0.0,36.3,13726.0,172.5,0.0009810512
1:5.4 - 1:6.9,16500.0,3139.4,0.2,3.5,16447.0,5196.7,3128.1,1452.2,-0.7,0.8,2160.5,5083.2,600.9,0.0,0.0,21.5,31271.0,768.1,0.9745218
1:6.9 - 1:8.4,12681.0,1540.8,-0.0,0.9,14052.3,2945.8,3570.4,699.8,-0.3,0.8,1064.3,5456.3,272.2,0.3,-0.0,24.2,26681.0,523.1,0.009050507
1:8.4 - 1:9.8,11497.0,1458.7,0.0,3.3,11442.6,2338.8,3839.1,416.9,-0.2,-0.0,903.7,5574.7,164.2,-0.5,-0.0,25.7,21787.0,446.5,0.0016042069
1:9.8 - 1:11.3,11217.0,1420.3,-0.1,5.3,12625.9,3262.9,4246.2,531.6,0.5,0.3,1030.9,5711.2,157.7,-1.2,0.0,27.1,23792.0,413.4,0.0026082601
1:11.3 - 1:12.8,8644.0,1339.7,0.1,0.6,8593.2,3970.8,4502.1,673.7,0.6,0.3,938.6,5739.3,177.7,-1.1,-0.0,26.3,16308.0,329.3,0.001498889
1:12.8 - 1:14.3,4365.0,992.6,-0.1,0.3,4343.3,2177.2,4316.9,390.3,-0.1,-0.1,610.4,5687.6,114.5,-0.8,-0.0,30.4,8656.0,143.4,0.0006390251
1:14.3 - 1:15.8,3194.0,764.4,-0.0,0.2,3366.6,1876.7,4759.3,349.3,-0.1,-0.4,424.3,5791.9,73.3,-1.2,-0.0,34.7,6512.0,92.2,0.00051123864
1:15.8 - 1:17.3,3463.0,689.8,-0.1,0.2,3411.1,1953.1,4775.9,314.1,0.4,-0.1,423.2,5790.6,59.6,-1.3,-0.0,35.3,6546.0,98.2,0.0005853388
1:17.3 - 1:18.8,2863.0,739.8,-0.0,0.1,2995.2,1893.4,4702.5,325.5,-0.2,0.0,365.3,5774.1,65.6,-0.8,0.0,32.0,5808.0,89.4,0.0005581324
1:18.8 - 1:20.2,6462.0,1088.2,-0.2,2.7,7048.5,3170.6,4351.6,535.6,1.0,-0.7,1058.2,5673.1,171.3,-2.2,-0.0,30.5,13466.0,211.6,0.0041366997
1:20.2 - 1:21.7,8209.0,1372.3,0.3,4.0,8156.9,3820.0,4209.8,679.8,1.1,-1.1,1743.9,5613.8,268.9,-2.2,0.0,29.1,15309.0,281.6,0.0028781851
1:21.7 - 1:23.2,6216.0,1404.0,0.1,1.2,6167.8,3489.4,4137.6,683.1,-0.4,-0.3,1165.5,5597.7,239.5,-1.1,-0.0,24.3,12272.0,256.0,0.0024756088
1:23.2 - 1:24.7,15503.0,3205.2,0.2,2.9,15449.0,5155.6,2418.7,792.2,3.2,1.0,2349.8,4790.1,509.4,-0.4,-0.0,15.3,29808.0,1012.2,0.96475726
1:24.7 - 1:26.2,7894.0,2129.2,-0.0,0.2,7850.0,2544.1,2944.6,515.5,-0.7,0.1,1498.1,5126.6,302.7,-0.4,-0.0,20.2,15097.0,389.9,0.00470085
1:26.2 - 1:27.7,8318.0,2055.3,0.1,0.7,8263.7,2812.6,3223.3,643.7,-0.6,-0.2,1486.0,5234.1,345.2,-0.8,-0.0,19.4,15402.0,428.6,0.0054047233
1:27.7 - 1:29.2,6760.0,1449.7,0.1,0.9,6706.5,2771.1,3868.8,586.8,-0.6,-0.0,1149.8,5520.3,219.9,-0.7,-0.0,25.0,13263.0,270.4,0.002702199
1:29.2 - 1:30.7,3799.0,979.2,-0.1,0.1,4355.7,2082.7,4371.5,378.3,-0.3,0.0,559.6,5695.9,100.1,-0.7,0.0,30.3,8101.0,125.4,0.0006390251
1:30.7 - 1:32.1,5916.0,1376.6,0.1,1.1,6234.7,3191.0,4177.4,643.6,-0.5,-0.3,998.0,5620.2,218.0,-1.1,0.0,27.0,12100.0,218.9,0.0019865118
1:32.1 - 1:33.6,7924.0,1059.3,0.0,3.4,8860.7,2590.1,4683.2,409.4,0.6,0.0,574.0,5803.9,81.8,-1.1,0.0,29.3,16732.0,270.1,0.00041510953
1:33.6 - 1:35.1,4244.0,779.6,0.1,0.8,4198.9,3614.4,5496.8,920.9,-1.4,0.4,3628.8,7051.5,1547.5,0.4,-0.0,33.9,7857.0,125.3,0.0038797376
1:35.1 - 1:36.6,4780.0,932.6,-0.1,1.3,5167.9,1222.5,6547.3,225.0,0.3,0.6,420.4,9030.2,82.6,-0.3,0.0,32.8,9908.0,145.7,0.00089521974
1:36.6 - 1:38.1,6823.0,1426.0,0.0,1.8,7407.9,1908.3,6386.0,302.0,4.0,1.5,682.4,9079.5,106.2,-1.1,0.0,27.7,14191.0,246.1,0.0003501786
1:38.1 - 1:39.6,16516.0,3060.7,-0.2,1.5,16477.1,979.7,5916.7,133.1,3.0,1.3,681.1,9221.7,72.5,-2.2,-0.0,17.6,32296.0,937.2,0.88050747
1:39.6 - 1:41.1,13029.0,2603.2,-0.2,2.6,15600.9,939.2,6056.3,181.3,0.6,0.9,807.6,9164.3,93.8,-2.2,0.0,21.9,28591.0,594.5,0.9089836
1:41.1 - 1:42.5,11344.0,2266.9,-0.2,2.5,12834.2,1088.3,6065.9,185.9,1.4,0.8,902.5,9148.6,97.1,-2.8,0.0,22.0,24142.0,514.6,0.03361764
1:42.5 - 1:44.0,13778.0,2932.7,-0.1,1.7,15506.3,772.6,5954.4,146.4,-0.1,0.4,411.9,9176.9,66.4,-1.0,-0.0,16.5,29245.0,833.2,0.0627625
1:44.0 - 1:45.5,8103.0,1781.6,-0.1,1.2,8888.6,1164.5,6117.1,178.1,2.2,1.1,614.0,9130.6,66.9,-1.8,-0.0,22.8,16954.0,356.0,0.0009794697
1:45.5 - 1:47.0,9234.0,1856.0,-0.0,1.2,9662.0,662.6,5943.5,110.4,-0.1,0.2,367.2,9148.5,55.6,-0.8,0.0,20.8,18857.0,443.8,0.0024362388
1:47.0 - 1:48.5,17320.0,3747.2,-0.1,1.2,17532.5,1030.5,5714.3,105.1,10.4,1.6,628.2,9180.2,70.5,-3.3,-0.0,15.6,-30723.0,1107.4,0.009960155
1:48.5 - 1:50.0,12919.0,2990.5,-0.0,0.9,12999.4,648.4,5723.9,80.7,1.5,0.2,671.1,9201.8,63.7,-3.3,-0.0,16.8,25876.0,770.3,0.023597032
1:50.0 - 1:51.5,12685.0,2805.6,-0.1,1.1,14395.1,1021.0,5761.8,94.3,22.9,2.9,890.1,9197.3,68.4,-6.3,-0.0,15.5,27043.0,816.8,0.011392833
1:51.5 - 1:52.9,20368.0,3550.9,-0.1,3.0,24273.1,991.4,5740.6,144.4,5.5,1.8,764.4,9189.1,89.7,-1.6,0.0,17.7,-20934.0,1148.4,0.14001016
1:52.9 - 1:54.4,10603.0,2723.7,-0.4,1.4,13651.5,1205.9,5752.2,124.9,16.5,2.9,442.0,9200.8,65.8,-0.8,0.0,16.6,24217.0,637.1,0.87174827
1:54.4 - 1:55.9,12159.0,2878.9,-0.3,1.2,14719.8,745.1,5809.8,97.6,4.6,1.4,800.3,9218.7,70.9,-3.6,-0.0,14.6,26840.0,833.1,0.087987915
1:55.9 - 1:57.4,10674.0,2135.8,-0.1,2.3,13738.6,1247.0,6062.2,244.5,0.3,0.6,955.2,9168.7,92.5,-3.1,0.0,24.1,24373.0,442.3,0.005492863
1:57.4 - 1:58.9,7718.0,1372.2,-0.1,2.3,7735.5,1169.7,6345.7,282.5,-0.8,0.3,961.5,9104.7,120.8,-1.0,0.0,28.5,15412.0,270.5,0.0016851182
1:58.9 - 2:0.4,10459.0,1681.6,0.1,3.3,12949.4,1314.7,6165.1,250.3,0.7,0.9,486.7,9131.8,101.8,-0.5,0.0,26.3,23364.0,397.0,0.0008460995
2:0.4 - 2:1.9,14495.0,2333.1,0.1,2.1,14451.8,663.6,5894.2,110.2,0.2,0.1,433.8,9214.7,55.3,-1.1,0.0,20.7,26766.0,700.3,0.038807556
2:1.9 - 2:3.3,9109.0,1827.7,0.0,1.4,9070.0,855.7,5964.6,107.4,4.1,1.2,651.6,9187.7,62.3,-2.9,0.0,24.2,17898.0,375.8,0.0016502363
2:3.3 - 2:4.8,8546.0,1861.4,-0.1,1.7,10865.8,1371.8,5928.5,116.0,27.1,3.1,942.7,9164.8,80.4,-4.2,0.0,24.9,19372.0,343.8,0.002537885
2:4.8 - 2:6.3,11321.0,2287.0,-0.1,1.3,11278.7,605.1,5889.8,93.6,0.9,0.5,471.2,9198.4,54.0,-1.1,0.0,18.7,21613.0,605.5,0.014800801
2:6.3 - 2:7.8,13371.0,2736.2,0.0,1.2,14643.2,514.8,5818.1,86.7,1.2,0.6,291.1,9213.8,50.1,-0.8,0.0,16.5,27974.0,809.2,0.019410942
2:7.8 - 2:9.3,14493.0,3909.9,-0.2,0.9,18879.8,1038.5,5708.5,89.1,38.5,4.7,759.3,9259.9,63.6,-5.3,-0.0,12.0,-32204.0,1211.6,0.044743948
2:9.3 - 2:10.8,15698.0,3624.9,-0.2,0.9,17442.4,1291.0,5711.6,115.9,45.5,5.6,967.0,9258.8,87.5,-7.0,0.0,14.1,-32437.0,1111.6,0.044743948
2:10.8 - 2:12.3,19108.0,3484.9,-0.2,2.3,23407.4,1006.7,5702.1,87.2,28.2,3.3,741.9,9223.2,80.4,-2.1,-0.0,16.2,-23061.0,1182.6,0.79980075
2:12.3 - 2:13.7,5761.0,1143.9,-0.2,2.5,8140.1,3094.5,4914.0,688.4,-1.0,-0.1,3827.1,6471.7,1298.4,1.6,0.0,26.7,13822.0,215.4,0.0099259075
2:13.7 - 2:15.2,3769.0,1080.8,-0.1,-0.0,5765.2,2913.4,4420.8,588.5,-0.1,-0.6,881.2,5775.4,177.2,-1.4,0.0,27.0,9444.0,139.6,0.0017918464
